  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,    P-1746,   2015/03/10 13:52:45,           1-01,       1,        -8.487,       -60.281,         23245,      -1,    0,                                        ,                                        ,                 H2O, 1426017471.15,         0.225,         0.660,        69.142,        -0.000,        -0.010,         1.604,       106.809,        50.075,         2.492,        79.838,         0.917,         4.726,       -0.0000,       -0.0000,    1,        42.875,         1,       1,       1, GJB_Rinse,       0
     2,    P-1746,   2015/03/10 14:01:42,           1-01,       2,        -8.084,       -52.898,         22972,      -1,    1,                                        ,                                        ,                 H2O, 1426018008.33,         0.248,         0.644,        67.958,        -0.001,        -0.009,         1.582,       105.007,        50.256,         2.451,        78.208,         0.920,         4.735,        0.0000,        0.0000,    1,        42.563,         1,       1,       1, GJB_Rinse,       0
     3,    P-1746,   2015/03/10 14:10:40,           1-01,       3,        -7.951,       -51.191,         23150,      -1,    0,                                        ,                                        ,                 H2O, 1426018546.41,         0.227,         0.555,        71.392,         0.000,        -0.006,         1.652,       105.786,        50.560,         2.436,        78.560,         0.920,         4.747,        0.0000,        0.0000,    1,        42.313,         1,       1,       1, GJB_Rinse,       0
     4,    P-1746,   2015/03/10 14:19:37,           1-01,       4,        -7.893,       -50.551,         23073,      -1,    0,                                        ,                                        ,                 H2O, 1426019083.32,         0.239,         0.533,        72.997,        -0.001,        -0.003,         1.691,       105.601,        50.335,         2.441,        77.737,         0.919,         4.587,       -0.0000,       -0.0000,    1,        42.250,         1,       1,       1, GJB_Rinse,       0
     5,    P-1746,   2015/03/10 14:28:34,           1-01,       5,        -7.877,       -50.178,         23173,      -1,    0,                                        ,                                        ,                 H2O, 1426019620.15,         0.249,         0.503,        75.788,        -0.000,        -0.004,         1.767,       105.834,        50.375,         2.432,        79.093,         0.914,         4.843,        0.0000,        0.0000,    1,        42.250,         1,       1,       1, GJB_Rinse,       0
     6,    P-1746,   2015/03/10 14:37:32,           1-01,       6,        -7.864,       -49.812,         23090,      -1,    0,                                        ,                                        ,                 H2O, 1426020158.13,         0.244,         0.524,        75.813,        -0.000,        -0.004,         1.769,       105.467,        50.329,         2.403,        78.303,         0.920,         4.708,        0.0000,        0.0000,    1,        42.313,         1,       1,       1, GJB_Rinse,       0
     7,    P-1746,   2015/03/10 14:46:30,           1-01,       7,        -7.805,       -49.432,         23183,      -1,    0,                                        ,                                        ,                 H2O, 1426020696.39,         0.248,         0.469,        71.901,        -0.000,        -0.002,         1.679,       105.897,        50.445,         2.438,        78.894,         0.913,         4.770,       -0.0000,       -0.0000,    1,        42.375,         1,       1,       1, GJB_Rinse,       0
     8,    P-1746,   2015/03/10 14:55:29,           1-01,       8,        -7.856,       -49.459,         23006,      -1,    0,                                        ,                                        ,                 H2O, 1426021234.44,         0.252,         0.568,        76.359,        -0.000,        -0.005,         1.779,       104.861,        49.751,         2.493,        80.415,         0.915,         5.052,       -0.0000,       -0.0000,    1,        42.375,         1,       1,       1, GJB_Rinse,       0
     9,    P-1746,   2015/03/10 15:04:26,           1-01,       9,        -7.832,       -49.219,         22826,       0,    1,                                        ,                                        ,                 H2O, 1426021772.02,         0.227,         0.496,        71.515,         0.000,        -0.004,         1.666,       104.196,        49.168,         2.505,        79.935,         0.913,         5.089,        0.0000,        0.0000,    1,        42.375,         1,       1,       1, GJB_Rinse,       0
    10,    P-1746,   2015/03/10 15:13:22,           1-01,      10,        -7.782,       -49.226,         22896,       0,    1,                                        ,                                        ,                 H2O, 1426022308.63,         0.217,         0.517,        74.867,        -0.001,        -0.004,         1.744,       103.953,        53.422,         2.159,        71.172,         0.912,         4.106,       -0.0000,       -0.0000,    1,        42.313,         1,       1,       1, GJB_Rinse,       0
