"domainID","dateShipped","shipmentID","senderID","sentTo","shipmentService","shipmentMethod","trackingNumber","quarantineStatus","sampleID","sampleCode","sampleClass","namedlocation","collectdate"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180611.H2O.1","A00000012039","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-06-11T10:30"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180514.H2O.1","A00000011579","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-05-14T10:57"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180604.H2O.1","A00000012037","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-06-04T10:45"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180521.H2O.1","A00000011585","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-05-21T10:30"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180430.H2O.1","A00000011349","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-04-30T11:00"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","LECO.ss.20180417.H2O.1","A00000012714","asi_fieldData_in.isotopeH2OSampleIDasi","LECO","2018-04-17T10:50"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","WALK.ss.20180501.H2O.1","A00000011588","asi_fieldData_in.isotopeH2OSampleIDasi","WALK","2018-05-01T09:29"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","WALK.ss.20180507.H2O.1","A00000011591","asi_fieldData_in.isotopeH2OSampleIDasi","WALK","2018-05-07T09:25"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","WALK.ss.20180529.H2O.1","A00000011473","asi_fieldData_in.isotopeH2OSampleIDasi","WALK","2018-05-29T08:45"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","WALK.ss.20180416.H2O.1","A00000012871","asi_fieldData_in.isotopeH2OSampleIDasi","WALK","2018-04-16T08:45"
"D07","2018-06-13","D0720180613061544217","acoons@battelleecology.org","University of Utah, SIRFER (ASI-oh)","FedEx","Ground","# 772463222015","N","WALK.ss.20180423.H2O.1","A00000011158","asi_fieldData_in.isotopeH2OSampleIDasi","WALK","2018-04-23T11:15"
