"shipmentID","shipmentReceivedDate","receivedBy","sampleID","sampleCode","sampleClass","sampleReceived","acceptedForAnalysis","sampleCondition","unknownSamples","remarks"
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180611.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180514.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180604.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180521.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180430.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","LECO.ss.20180417.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","WALK.ss.20180501.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","WALK.ss.20180507.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","WALK.ss.20180529.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","WALK.ss.20180416.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
"D0720180613061544217",2018-06-21,"u0939524@utah.edu","WALK.ss.20180423.H2O.1","","asi_fieldData_in.isotopeH2OSampleIDasi","Y","Y",,"",""
