DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2015-02-26                23:52:59.380              56.74513171               1361.883161               57.74513171               1424994779.380            2                         963                       4.9983174464E+001         8.0000511169E+001         4.5000633240E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0887629570E+004         0.0000000000E+000         3.0844785090E+000         1.2238250657E+003         6.3716692871E+002         -9.8900256623E-001        0.0000000000E+000         8.1265634218E+001         -4.5695727078E+000        1.9747269544E-001         
2015-02-26                23:53:00.233              56.74514160               1361.883398               57.74514160               1424994780.234            2                         963                       4.9983459549E+001         8.0000541687E+001         4.5000724792E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0879259141E+004         0.0000000000E+000         3.2783677410E+000         5.5047319160E+002         1.3966362732E+003         -2.4126170113E-001        0.0000000000E+000         8.1218723598E+001         -4.7703254896E+000        2.4722600316E-001         
2015-02-26                23:53:01.086              56.74515147               1361.883635               57.74515147               1424994781.087            2                         963                       5.0003897527E+001         8.0000541687E+001         4.5000724792E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0887960729E+004         0.0000000000E+000         4.4536444628E+000         3.1065836781E+002         1.4248931131E+003         -1.1203211599E-001        0.0000000000E+000         8.1161781564E+001         -4.9765984538E+000        1.7530186830E-001         
2015-02-26                23:53:01.940              56.74516135               1361.883872               57.74516135               1424994781.941            2                         963                       4.9999260534E+001         8.0000541687E+001         4.5000724792E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0881764870E+004         0.0000000000E+000         5.0878818999E+000         6.0354297084E+002         1.9004624576E+001         -2.4755098088E-001        0.0000000000E+000         8.0814903375E+001         -4.2420740262E+000        1.4700176956E-001         
2015-02-26                23:53:02.793              56.74517123               1361.884109               57.74517123               1424994782.794            2                         963                       5.0011007385E+001         8.0000541687E+001         4.5000724792E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0897948047E+004         0.0000000000E+000         2.9469304282E+000         9.0171723739E+002         2.6329061896E+003         1.6230234751E-001         0.0000000000E+000         8.0971091991E+001         -4.1745861103E+000        1.9402975929E-001         
2015-02-26                23:53:03.647              56.74518110               1361.884346               57.74518110               1424994783.647            2                         963                       5.0005460358E+001         8.0000541687E+001         4.5000724792E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0897175404E+004         0.0000000000E+000         4.2833025042E+000         6.8036022624E+002         1.7056717743E+003         -5.7239951511E-001        0.0000000000E+000         8.1069927871E+001         -4.6274319594E+000        1.3795423469E-001         
2015-02-26                23:53:04.500              56.74519098               1361.884584               57.74519098               1424994784.501            2                         963                       4.9988798955E+001         8.0000533346E+001         4.5000724792E+001         4.4375000000E+001         4.4973633525E+001         0.0000000000E+000         3.0887761003E+004         0.0000000000E+000         4.5716678966E+000         1.1210644686E+002         2.0931770724E+002         4.2982554030E-001         0.0000000000E+000         8.1064906730E+001         -6.4308074493E+000        1.4333974231E-001         
2015-02-26                23:53:05.354              56.74520086               1361.884821               57.74520086               1424994785.354            2                         963                       4.9996433309E+001         8.0000511169E+001         4.5000724792E+001         4.4375000000E+001         4.4973655701E+001         0.0000000000E+000         3.0887906732E+004         0.0000000000E+000         3.9455138940E+000         1.5835908397E+002         1.0301525614E+003         -7.8426377634E-001        0.0000000000E+000         8.1307218684E+001         -5.5355575149E+000        1.6375412717E-001         
2015-02-26                23:53:06.207              56.74521074               1361.885058               57.74521074               1424994786.208            2                         963                       4.9998840230E+001         8.0000511169E+001         4.5000724792E+001         4.4375000000E+001         4.4973655701E+001         0.0000000000E+000         3.0888786979E+004         0.0000000000E+000         3.5952594920E+000         5.1347395204E+002         2.8108584495E+003         8.4612729828E-002         0.0000000000E+000         8.1093511605E+001         -6.7222557413E+000        1.8471413166E-001         
2015-02-26                23:53:07.061              56.74522061               1361.885295               57.74522061               1424994787.061            2                         963                       5.0002235413E+001         8.0000511169E+001         4.5000724792E+001         4.4375000000E+001         4.4973655701E+001         0.0000000000E+000         3.0891610352E+004         0.0000000000E+000         3.8341688499E+000         5.8948666849E+002         1.3474858375E+002         -6.5214554730E-001        0.0000000000E+000         8.1196697506E+001         -4.9948585237E+000        1.3335073455E-001         
2015-02-26                23:53:07.914              56.74523050               1361.885532               57.74523050               1424994787.915            2                         963                       4.9988782730E+001         8.0000511169E+001         4.5000724792E+001         4.4375000000E+001         4.4973655701E+001         0.0000000000E+000         3.0882847708E+004         0.0000000000E+000         4.8125282821E+000         2.4472624063E+002         8.0619431788E+002         1.8615632844E-001         0.0000000000E+000         8.1017732759E+001         -5.6775570528E+000        2.2147268196E-001         
2015-02-26                23:53:08.767              56.74524037               1361.885769               57.74524037               1424994788.768            2                         963                       5.0011529134E+001         8.0000511169E+001         4.5000724792E+001         4.4375000000E+001         4.4973655701E+001         0.0000000000E+000         3.0893965742E+004         0.0000000000E+000         5.2642627512E+000         3.3862857182E+002         2.5465096958E+002         8.2923751223E-001         0.0000000000E+000         8.0402108283E+001         -4.5167980457E+000        1.1308986787E-001         
2015-02-26                23:53:09.621              56.74525024               1361.886006               57.74525024               1424994789.621            2                         963                       5.0027968012E+001         8.0000598450E+001         4.5000693054E+001         4.4375000000E+001         4.4973647766E+001         0.0000000000E+000         3.0911893828E+004         0.0000000000E+000         4.0874747435E+000         5.1120727212E+002         2.4913973954E+003         -1.2753944002E+000        0.0000000000E+000         8.1282784419E+001         -5.9084588116E+000        2.3723625732E-001         
2015-02-26                23:53:10.474              56.74526013               1361.886243               57.74526013               1424994790.475            2                         963                       5.0003184001E+001         8.0000846863E+001         4.5000602722E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0904835807E+004         0.0000000000E+000         2.6562539004E+000         1.0894005401E+003         1.3824791917E+003         -2.7607334723E-001        0.0000000000E+000         8.1155474105E+001         -5.1152185032E+000        2.0599501594E-001         
2015-02-26                23:53:11.328              56.74527000               1361.886480               57.74527000               1424994791.328            2                         963                       5.0003294398E+001         8.0000846863E+001         4.5000602722E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0906382747E+004         0.0000000000E+000         4.8833240663E+000         3.6586911581E+002         9.8572727451E+001         -5.9252901414E-001        0.0000000000E+000         8.1147598195E+001         -4.7329505074E+000        2.3056519042E-001         
2015-02-26                23:53:12.181              56.74527988               1361.886717               57.74527988               1424994792.182            2                         963                       5.0013661270E+001         8.0000846863E+001         4.5000602722E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0915477813E+004         0.0000000000E+000         3.8469955401E+000         5.0969907245E+002         2.0360478153E+003         -7.8166976726E-001        0.0000000000E+000         8.1241969440E+001         -6.7420749756E+000        2.1460932838E-001         
2015-02-26                23:53:13.035              56.74528976               1361.886954               57.74528976               1424994793.035            2                         963                       4.9995200094E+001         8.0000846863E+001         4.5000602722E+001         4.4375000000E+001         4.4973625183E+001         0.0000000000E+000         3.0905541510E+004         0.0000000000E+000         3.9530875930E+000         3.5808238396E+002         1.4560915258E+003         -7.5091817491E-001        0.0000000000E+000         8.1219303526E+001         -4.6857045640E+000        1.8800687240E-001         
2015-02-26                23:53:13.888              56.74529964               1361.887191               57.74529964               1424994793.889            2                         963                       5.0006562475E+001         8.0000846863E+001         4.5000602722E+001         4.4360833333E+001         4.4973625183E+001         0.0000000000E+000         3.0912738359E+004         0.0000000000E+000         4.7257430189E+000         4.1291180143E+002         -1.3721606655E+003        -9.3714522069E-001        0.0000000000E+000         8.1152339785E+001         -4.9832174039E+000        1.6443797458E-001         
2015-02-26                23:53:14.742              56.74530951               1361.887428               57.74530951               1424994794.742            2                         963                       5.0001139069E+001         8.0000914001E+001         4.5000602722E+001         4.4375000000E+001         4.4973636373E+001         0.0000000000E+000         3.0912828385E+004         0.0000000000E+000         2.7448604881E+000         1.2732933576E+003         -1.2724725871E+003        3.0906666237E-001         0.0000000000E+000         8.0958171787E+001         -4.7987707323E+000        1.6792120949E-001         
